id,name,position,start_date,end_date,type
cfe76c90-a178-485c-8178-b6d359bcd15f,KAWABATA Tatsuo,Minister of Internal Affairs and Communications,2011-09-02,2012-10-01,cabinet
cfe76c90-a178-485c-8178-b6d359bcd15f,KAWABATA Tatsuo,"Minister of Education, Culture, Sports, Science and Technology of Japan",2009-09-16,2010-09-17,cabinet
86330871-8024-425a-a362-909b6ffc67a3,HAMADA Yasukazu,Minister of Defense of Japan,2008-09-24,2009-09-16,cabinet
46f8fb1e-a5df-4ae4-bbb8-5db24de9079b,TOKAI Kisaburo,"Minister of Education, Culture, Sports, Science and Technology of Japan",2007-09-26,2008-08-02,cabinet
05eb9daf-303b-49dc-9804-9b8f1e7facef,SATO Tsutomu,Minister of State for Decentralization Reform,2009-06-12,2009-09-16,cabinet
05eb9daf-303b-49dc-9804-9b8f1e7facef,SATO Tsutomu,Minister of State for Okinawa and Northern Territories Affairs,2008-09-24,2009-07-02,cabinet
05eb9daf-303b-49dc-9804-9b8f1e7facef,SATO Tsutomu,Minister of State for Disaster Management,2008-09-24,2009-07-02,cabinet
05eb9daf-303b-49dc-9804-9b8f1e7facef,SATO Tsutomu,Minister of Internal Affairs and Communications,2009-06-12,2009-09-16,cabinet
20f71af5-acc6-48c2-98b8-a73c16455cbf,NUKAGA Fukushiro,Minister of Finance,2007-08-27,2008-08-02,cabinet
9a51ab77-b98e-469d-9417-a4b8eaadc4a5,SUGA Yoshihide,Chief Cabinet Secretary,2012-12-26,,cabinet
9a51ab77-b98e-469d-9417-a4b8eaadc4a5,SUGA Yoshihide,Minister of Internal Affairs and Communications,2006-09-26,2007-08-27,cabinet
6d563c9d-52ef-409c-ba08-b12410c5f3e2,MATSUMOTO Takeaki,Minister for Foreign Affairs,2011-03-09,2011-09-02,cabinet
057f0268-8566-4f5a-8087-302b6ce53339,MAEHARA Seiji,Minister of State for the Nuclear Power Policy and Administration,2012-10-01,2012-12-26,cabinet
057f0268-8566-4f5a-8087-302b6ce53339,MAEHARA Seiji,Minister of State for Space Policy,2012-10-01,2012-12-26,cabinet
057f0268-8566-4f5a-8087-302b6ce53339,MAEHARA Seiji,Minister of State for Science and Technology Policy,2012-10-01,2012-12-26,cabinet
057f0268-8566-4f5a-8087-302b6ce53339,MAEHARA Seiji,Minister of State for Economic and Fiscal Policy,2012-10-01,2012-12-26,cabinet
057f0268-8566-4f5a-8087-302b6ce53339,MAEHARA Seiji,Minister of State for Disaster Management,2009-09-16,2010-01-12,cabinet
057f0268-8566-4f5a-8087-302b6ce53339,MAEHARA Seiji,Minister for Foreign Affairs,2010-09-17,2011-03-07,cabinet
