id,position,label,description,start_date,end_date,replaces,replaced_by,term
Q12281220,Q20015949,member of the Assembly of the Republic of Macedonia,member of the unicameral legislature of Macedonia,"",,,,
Q260196,Q20015949,member of the Assembly of the Republic of Macedonia,member of the unicameral legislature of Macedonia,"",,,,
Q30306429,Q20015949,member of the Assembly of the Republic of Macedonia,member of the unicameral legislature of Macedonia,"",,,,Sobranie 2014-2016
Q30528658,Q20015949,member of the Assembly of the Republic of Macedonia,member of the unicameral legislature of Macedonia,"",,,,
Q3403101,Q20015949,member of the Assembly of the Republic of Macedonia,member of the unicameral legislature of Macedonia,"",,,,
Q3408284,Q20015949,member of the Assembly of the Republic of Macedonia,member of the unicameral legislature of Macedonia,"",,,,
Q510944,Q20015949,member of the Assembly of the Republic of Macedonia,member of the unicameral legislature of Macedonia,"",,,,
Q5860953,Q12755495,Minister of Defence,member of the Cabinet in Macedonia,2013-02-18,2014-06-19,Fatmir Besimi,Zoran Jolevski,
Q5860953,Q20015949,member of the Assembly of the Republic of Macedonia,member of the unicameral legislature of Macedonia,"",,,,
Q5998182,Q20015949,member of the Assembly of the Republic of Macedonia,member of the unicameral legislature of Macedonia,"",,,,
Q603634,Q20015949,member of the Assembly of the Republic of Macedonia,member of the unicameral legislature of Macedonia,"",,,,
Q6540258,Q20015949,member of the Assembly of the Republic of Macedonia,member of the unicameral legislature of Macedonia,"",,,,
