id,position,label,description,start_date,term,end_date,replaces,replaced_by
Q11005183,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q11045555,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q11052170,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q11056716,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q11153384,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q11978376,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13122536,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13122539,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13122550,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13122554,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13122556,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13122607,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13122744,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13122792,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13122896,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13122905,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13122923,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13122953,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13122985,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13123005,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13123155,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13123156,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13123172,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13123174,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13123175,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13123763,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13124326,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13124521,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13124686,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13124687,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13124688,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13124750,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13124755,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13124810,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13124832,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13124934,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13124934,Q6867649,"Ministry of Water and Irrigation, Tanzania","","",,,,
Q13124943,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13125162,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13125250,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13125252,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13125291,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13639507,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q13647601,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q1397927,Q16147875,Prime Minister of Tanzania,"",1972-02-17,,1977-02-13,"",Edward Sokoine
Q1397927,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q1397927,Q6595005,List of Prime Ministers of Tanganyika,Wikimedia list article,"",,,,
Q14791534,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q14925565,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q14949085,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q15047198,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q15101327,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q15651126,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q15665306,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q15665420,Q17599130,Member of the National Assembly of Tanzania,"","",11th Parliament of Tanzania,,,
Q16018441,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16019654,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16105431,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16105825,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16106024,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16107053,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16107505,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16121579,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16121934,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16122590,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q1612942,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16136464,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16145336,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16145341,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16145353,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16145382,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16145530,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16145576,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16145621,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16145843,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16145876,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16146018,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16146048,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16146273,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16146299,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16147163,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16147390,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16149145,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16149733,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16151862,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16151883,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16152051,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16185539,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16185612,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16186180,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16186325,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16186392,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16186778,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16186796,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16187151,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16187173,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16187237,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16187247,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16187295,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16187296,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16189312,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16189332,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16189334,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16189341,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16189390,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16192851,Q16915614,,"","",,,,
Q16192851,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16192912,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16193009,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16193031,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16193183,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16193194,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16193252,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16193265,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16193684,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16193730,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16193732,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16193750,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16193885,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16193885,Q19057636,Vice President of Tanzania,"",2015-11-05,,"",Mohamed Gharib Bilal,""
Q16193978,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16194119,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16194217,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16194239,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16194322,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
